Sample label,Sample name,Location,Source type,Reservoir temperature (°C),pH,EC (microS/cm),K (mg/l),Na (mg/l),Boron (mg/l),SiO2 (mg/l),Cl (mg/l),Temperature source,Dataset,Geothermometry
65,R1,Denizli,Well,220.0,7.6,4990.0,153.0,1318.0,23.0,405.0,102.0,Measured,Training,211.170832714678
66,R3A,Denizli,Well,243.0,7.2,5330.0,182.0,1417.0,29.0,455.0,113.0,Measured,Training,219.08984795885004
67,Ìmamköy,Aydin,Thermal spring,97.0,7.4,1772.0,84.0,51.0,0.0,43.0,25.0,Measured,Validation,96.57873487704319
68,Güre,Balikesir,Thermal spring,92.0,9.1,1300.0,5.5,265.0,2.7,38.0,71.0,Measured,Validation,91.81906941453695
69,Ayvalik Ilica,Balikesir,Thermal spring,83.0,8.7,1000.0,0.8,2.6,0.5,30.0,59.0,Measured,Validation,83.05013829813089
70,Sindirgi,Balikesir,Thermal spring,53.0,7.6,350.0,0.8,10.0,0.5,12.0,10.0,Measured,Validation,52.70293503673361
71,Kükürtlü,Bursa,Thermal spring,94.0,7.3,816.0,18.0,194.0,1.9,40.0,8.0,Measured,Validation,93.77912549795246
72,Oylat,Bursa,Thermal spring,96.0,7.6,1450.0,4.3,23.5,0.0,42.0,14.0,Measured,Validation,95.66316733250193
73,Hidirlar,Çanakkale,Thermal spring,103.0,8.1,700.0,4.0,110.0,0.7,51.0,19.0,Measured,Validation,103.3562267749769
74,SP9,Denizli,Thermal spring,164.0,6.6,4120.0,75.0,564.0,10.0,184.0,98.0,Measured,Validation,163.55600924347738
75,Tekkehamam2,Denizli,Thermal spring,156.0,7.7,3800.0,99.0,984.0,20.0,160.0,97.0,Measured,Validation,156.08054151730835
76,Kükürtlü,Manisa,Thermal spring,83.0,7.1,1880.0,8.0,98.0,7.6,30.0,31.0,Measured,Validation,83.05013829813089
77,Tekkeköy,Denizli,Thermal spring,183.0,7.6,4500.0,95.0,995.0,12.0,251.0,90.0,Measured,Validation,181.13411249330977
78,KD54,Denizli,Well,225.0,7.2,5090.0,140.0,1225.0,38.0,426.0,180.0,Measured,Validation,214.57821949409663
79,KD14,Denizli,Well,208.0,8.9,4890.0,129.0,1257.0,20.0,292.0,100.0,Measured,Validation,190.22211649496404
80,KD22,Denizli,Well,201.0,8.3,4750.0,126.0,1225.0,17.0,258.0,92.0,Measured,Validation,182.75971247904096
81,R6,Denizli,Well,207.0,8.4,4590.0,117.0,1258.0,21.0,249.0,94.0,Measured,Validation,180.6634962440317
82,R5A,Denizli,Well,230.0,7.5,4680.0,131.0,1232.0,22.0,650.0,95.0,Measured,Validation,245.05057928571216
83,K5,Denizli,Thermal spring,190.0,7.5,4500.0,74.0,1126.0,12.0,191.0,90.0,Measured,Validation,165.5973738230938
